"Aardmonnik";"Vieille brune";"8";"De Struise Brouwers"
"Aarschotse Bruine";"Brune";"6";"Stadsbrouwerij Aarschot"
"Abbaye d'Aulne Blonde des Pères 6";"Abbaye, Blonde";"6";"Brasserie du Val de Sambre"
"Abbaye d'Aulne Brune des Pères 6";"Abbaye, Brune";"6";"Brasserie du Val de Sambre"
"Abbaye d'Aulne Premier Cru";"Abbaye, Blonde";"9";"Brasserie du Val de Sambre"
"Abbaye d'Aulne Super Noël 9";"Abbaye, Bière de Noël";"9";"Brasserie du Val de Sambre"
"Abbaye d'Aulne Triple Blonde";"Abbaye, Triple";"8";"Brasserie du Val de Sambre"
"Abbaye d'Aulne Triple Brune";"Abbaye, Triple";"8";"Brasserie du Val de Sambre"
"Abbaye de Boneffe";"Abbaye, Brune";"9";"Brasserie de Tubize"
"Abbaye de Bonne-Espérance";"Abbaye";"7,8";"Brasserie La Bonchoise"
"Abbaye de Bonne-Espérance Grand Cru";"Abbaye";"8";"Brouwerij Het Anker (pour Zago srl)"
"Abbaye d'Aulne Val de Sambre";"Abbaye, Ambrée";"6,4";"Brasserie du Val de Sambre"
"Abbaye de Forest";"Abbaye, Triple";"6,5";"Brasserie de Silly"
"Abbaye de Gembloux";"Triple";"8,5";"Brasserie Lefebvre"
"Abbaye de la Thure";"Abbaye";"10";"Brasserie Brootcoorens"
"Abbaye de Saint-Martin Blonde";"Abbaye";"7";"Brasserie de Brunehaut"
"Abbaye de Saint-Martin Brune";"Abbaye";"8";"Brasserie de Brunehaut"
"Abbaye de Saint-Martin Cuvée de Noël";"Abbaye, Bière de Noël";"8,5";"Brasserie de Brunehaut"
"Abbaye de Saint-Martin Triple";"Abbaye, Triple";"9";"Brasserie de Brunehaut"
"Abbaye de Oudkerken";"Abbaye";"6,2";"Brasserie Lefebvre"
"Abbaye des Rocs Blonde";"Abbaye, Fermentation haute";"7,5";"Brasserie de l'Abbaye des Rocs"
"Abbaye des Rocs Brune";"Abbaye, Brune";"9";"Brasserie de l'Abbaye des Rocs"
"Abbaye des Rocs Grand Cru";"Abbaye, Ale";"9,5";"Brasserie de l'Abbaye des Rocs"
"Abbaye des Rocs Spéciale Noël";"Abbaye, Bière de Noël";"9";"Brasserie de l'Abbaye des Rocs"
"Abbaye du Park Blonde";"Abbaye, Blonde";"6";"Brasserie Haacht"
"Abbaye du Park Brune";"Abbaye, Brune";"6";"Brasserie Haacht"
"Abdis Blond";"Blonde";"6,5";"Brasserie Riva"
"Abdis Bruin";"Brune";"6,5";"Brasserie Riva"
"Abdis Tripel";"Triple";"8,2";"Brasserie Riva"
"Abdij van Roosenberg Dubbel";"Double";"7";"Brasserie Van Steenberge"
"Abdij van Roosenberg Tripel";"Triple";"9";"Brasserie Van Steenberge"
"Achel 8 Blond";"Trappiste, Blonde";"8";"Abbaye d'Achel"
"Achel 8 Bruin";"Trappiste, Brune";"8";"Abbaye d'Achel"
"Achel Blond Extra";"Trappiste, Blonde";"9,5";"Abbaye d'Achel"
"Achel Bruin Extra";"Trappiste, Brune";"9,5";"Abbaye d'Achel"
"Adelardus";"Abbaye";"7";"Brasserie Cornelissen pour la Brasserie Kerkom"
"Adelardus Tripel";"Abbaye, Triple";"9";"Brasserie Cornelissen pour la Brasserie Kerkom"
"Adler";"Pils";"6,5";"Brasserie Haacht"
"Adriaen Brouwer";"Fermentation haute, Brune";"5";"Brasserie Roman"
"Adriaen Brouwer Dark Gold";"Fermentation haute, Brune";"8,5";"Brasserie Roman"
"Affligem Blond";"Abbaye, Blonde";"6,8";"Brasserie Affligem (Heineken)"
"Affligem Dubbel";"Abbaye, Brune";"6,8";"Brasserie Affligem (Heineken)"
"Affligem 950 Cuvee";"Abbaye, Blonde";"6,8";"Brasserie Affligem (Heineken)"
"Affligem Noël";"Abbaye, Bière de Noël";"9";"Brasserie Affligem (Heineken)"
"Affligem Patersvat";"Abbaye, Double";"6,8";"Brasserie Affligem (Heineken)"
